x,y
5642.086306895895,437.2578215145404
5624.6404922211095,475.7278774065817
5631.1143751983345,575.4685127889043
5632.265401663959,675.462611137782
5632.5580913117155,775.450855220668
5632.449786064493,875.4623652087703
5632.081492792734,975.458471816208
5631.516759653588,1075.4607593681203
5630.788473511357,1175.450409420695
5629.913286769524,1275.448973593624
5628.897757759831,1375.4460787892294
5627.739944466226,1475.4394688648292
5626.428981650447,1575.421643554486
5624.941031598946,1675.4275987450535
5623.232461320373,1775.3956489611476
5621.211616198706,1875.3881789918896
5618.6504666364235,1975.349300388164
5614.252825048401,2075.253034962332
5636.9945204230025,2168.339328320697
5686.948601267257,2254.795515677455
5720.824466291253,2348.6890629686786
5714.139235628405,2445.727753938234
5633.149777002633,2484.229360550642
5578.726407309878,2403.595284620649
5573.464544586837,2303.784948192537
5571.96887653866,2203.790234244858
5548.270121835871,2113.6271294874605
5474.8470377988615,2045.7627710266122
5396.426557365249,1983.7522849942882
5313.045920243907,1928.5974430704384
5225.671528192219,1879.9964981953167
5135.127336886249,1837.6273676693181
5042.022892293764,1801.142114041522
4946.937627580429,1770.2586544332419
4850.275647201124,1744.7028614612664
4752.386148503741,1724.2551719843736
4653.6145212048905,1708.7502291508881
4554.193667436168,1698.0534483841136
4454.376456297846,1692.0819810521434
4354.394822477847,1690.7926763610512
4254.469324029376,1694.1822254189976
4154.80073595047,1702.2893868088722
4055.650707246459,1715.1889044481868
3957.2613218891247,1732.9974009569858
3859.91758715723,1755.8695342276396
3763.971795383726,1783.98944564627
3669.7999335673053,1817.5818452853346
3577.8593357224054,1856.8963122932446
3488.720797263457,1902.183309335763
3403.047116119717,1953.685594347494
3332.1939283534884,2016.9284388413653
3378.066002821828,2105.7592669066826
3418.3597101545756,2197.221998893043
3450.0133151170603,2292.052078745204
3473.163868040133,2389.300583459794
3488.32579539615,2488.113163225391
3496.2395544229157,2587.781125715097
3498.605000586589,2687.75708733983
3494.218265764446,2787.6044780269103
3473.9812293079453,2885.3409677857467
3431.3623802842203,2975.4961776402056
3357.916153130982,3041.5447019726635
3260.228189364113,3051.7111415814825
3170.6284588923354,3009.064180762598
3100.1348289865846,2938.571175590777
3047.450627270524,2853.758710881661
3010.431264625123,2760.9789204074177
2987.847251784653,2663.6662542667036
2981.182077456784,2563.986197093465
2989.97778505155,2464.4731885354286
3013.7586021452007,2367.4433347194135
3052.4668582667628,2275.3622349123125
3106.448662034116,2191.2747426851674
3167.702067257007,2112.2481682015496
3236.510618381435,2039.8225172138773
3235.674594759941,1966.868005514145
3163.818673529886,1897.321614036271
3093.8304265475645,1825.9088450728095
3027.5874395998317,1751.0151673736846
2964.813784248853,1673.1691592786092
2905.427012507731,1592.7347317742533
2849.3397708869707,1509.9366990051408
2796.2404778238306,1425.2340805381205
2752.5700496914833,1335.4187544330375
2732.592377324123,1237.7729461594718
2736.4696697814506,1138.0025372185773
2772.21046602726,1050.9008202866971
2767.071512591723,1145.2158165804394
2764.686511860462,1244.8828745118808
2788.3189751500563,1341.735528137558
2835.4745267033895,1429.7927831753739
2889.81049745971,1513.7387575741434
2946.9982684667148,1595.7559622874276
3006.557591080783,1676.0738801516848
3069.1598551177103,1754.0500457792878
3136.8629526079167,1827.6230706265374
3207.6906367550255,1898.2083104750927
3281.756173214825,1965.3663879217436
3365.4763519245607,1940.4663839933928
3449.7128703121934,1886.6442688271602
3538.0387580234583,1839.7815395926064
3629.441582186695,1799.282110814773
3723.218684637445,1764.5850422179874
3818.8158773083933,1735.2735683449202
3915.822397537414,1711.0291343966521
4013.9004559062596,1691.6239350348098
4112.809764608926,1676.8975094790726
4212.27444523742,1666.7648554739485
4312.111464082839,1661.1873334145705
4412.102591569799,1660.192916115535
4512.030089534814,1663.9861147715924
4611.634486672901,1672.5810729592301
4710.735876585872,1685.957344846528
4809.054048882397,1704.1321168463453
4906.3518695739385,1727.1830674075047
5002.332841223615,1755.2440115465147
5096.61681300951,1788.5053613885605
5188.794284081236,1827.2520708827367
5278.273833221081,1871.833621998876
5364.326407152692,1922.7133977288343
5445.944119121061,1980.4459531569032
5521.739109536575,2045.6120228931686
5582.766928803176,2058.01055934125
5590.8886873833835,1958.3702966408507
5595.12880961597,1858.4650061875964
5597.9920566082,1758.4998961038655
5600.08596863132,1658.5137074622712
5601.672987292521,1558.5251695130164
5602.894817750901,1458.540239220337
5603.838239415316,1358.549153349421
5604.560791068478,1258.5398791921968
